INVNUM,Client_id,Inv_date,Inv_paid,Inv_Paid_date,Comments,Suppl1,Price,Quantity,PriceSuppl1,Suppl2,Price,Quantity,PriceSuppl2,Suppl3,Price,Quantity,PriceSuppl3,Suppl4,Price,Quantity,PriceSuppl4,Suppl5,Price,Quantity,PriceSuppl5,Suppl6,Price,Quantity,PriceSuppl6,Suppl7,Price,Quantity,PriceSuppl7,Total(Suppl)
INV0345,Client_id,2015-05-07,Y,2015-05-07,,Supplement-68,212.14,1,212.14,,,,,,,,,,,,,,,,,,,,,,,,, R 212.14 
INV0392,Client_id,2015-06-19,Y,2015-06-24,,Supplement-163,128.92,2,257.84,Supplement-117,224.37,5,1121.85,,,,,,,,,,,,,,,,,,,,," R 1,379.69 "
INV0722,Client_id,2016-06-13,Y,2016-06-14,,Supplement-155,148.82,3,446.46,Supplement-232,311.14,5,1555.70,,,,,,,,,,,,,,,,,,,,," R 2,002.16 "
INV01237,Client_id,2018-06-14,Y,2018-06-24,,Supplement-112,2745.16,5,13725.80,Supplement-152,278.26,5,1391.30,,,,,,,,,,,,,,,,,,,,," R 15,117.10 "
INV0511,991212074083,2015-09-23,Y,2015-09-28,,Supplement-1,281.94,4,1127.76,Supplement-220,270.28,3,810.84,,,,,,,,,,,,,,,,,,,,," R 1,938.60 "
INV01132,991212074083,2018-03-08,Y,2018-03-17,,Supplement-56,4793.80,2,9587.60,,,,,,,,,,,,,,,,,,,,,,,,," R 9,587.60 "
INV01166,991212074083,2018-04-08,Y,2018-04-09,,Supplement-95,246.34,2,492.68,,,,,,,,,,,,,,,,,,,,,,,,, R 492.68 
INV01585,9.91212E+12,2020-02-09,,,,Supplement-214,263.34,3,790.02,Supplement-67,158.56,4,634.24,Supplement-117,285.93,5,1429.65,,,,,,,,,,,,,,,,," R 2,853.91 "
INV0012,9911090794084,2013-01-11,Y,2013-01-13,,Supplement-132,221.34,3,664.02,Supplement-227,216.08,4,864.32,Supplement-177,110.68,1,110.68,Supplement-159,139.18,1,139.18,Supplement-10,114.56,5,572.80,Supplement-169,170.00,2,340.00,Supplement-125,80.00,2,160.00," R 2,851.00 "
INV0034,9911090794084,2013-04-08,Y,2013-04-17,,Supplement-204,225.64,5,1128.20,Supplement-215,190.30,5,951.50,Supplement-97,123.04,2,246.08,Supplement-219,164.52,4,658.08,Supplement-17,171.30,3,513.89,,,,,,,,," R 3,497.75 "
INV0519,9911090794084,2015-09-28,Y,2015-10-07,,Supplement-18,139.18,3,417.54,Supplement-82,156.28,4,625.12,,,,,,,,,,,,,,,,,,,,," R 1,042.66 "
INV0549,9911090794084,2015-10-24,Y,2015-10-26,,Supplement-60,222.40,3,667.20,,,,,,,,,,,,,,,,,,,,,,,,, R 667.20 
INV0737,9911090794084,2016-07-08,Y,2016-07-18,,Supplement-121,266.24,1,266.24,Supplement-28,261.42,3,784.26,,,,,,,,,,,,,,,,,,,,," R 1,050.50 "
INV0927,9911090794084,2017-05-08,Y,2017-05-10,,Supplement-40,148.84,4,595.34,,,,,,,,,,,,,,,,,,,,,,,,, R 595.34 
INV01061,9911090794084,2017-12-24,Y,2017-12-29,,Supplement-115,420.40,3,1261.20,,,,,,,,,,,,,,,,,,,,,,,,," R 1,261.20 "
INV0495,9910120124085,2015-09-11,Y,2015-09-20,,Supplement-114,209.24,1,209.24,,,,,,,,,,,,,,,,,,,,,,,,, R 209.24 
INV0655,9910120124085,2016-02-21,Y,2016-02-27,,Supplement-149,273.70,3,821.10,,,,,,,,,,,,,,,,,,,,,,,,, R 821.10 
INV0886,9910120124085,2017-02-23,Y,2017-02-25,,Supplement-47,286.92,3,860.75,Supplement-124,257.82,1,257.82,,,,,,,,,,,,,,,,,,,,," R 1,118.57 "
INV0993,9910120124085,2017-08-26,Y,2017-09-01,,Supplement-136,253.18,5,1265.90,,,,,,,,,,,,,,,,,,,,,,,,," R 1,265.90 "
INV01037,9910120124085,2017-11-12,Y,2017-11-12,,Supplement-234,297.02,5,1485.10,,,,,,,,,,,,,,,,,,,,,,,,," R 1,485.10 "
INV01213,9910120124085,2018-05-17,Y,2018-05-27,,Supplement-39,281.68,3,845.04,,,,,,,,,,,,,,,,,,,,,,,,, R 845.04 
INV0751,9910060946082,2016-07-25,Y,2016-07-26,,Supplement-124,233.88,4,935.52,Supplement-100,108.21,3,324.63,,,,,,,,,,,,,,,,,,,,," R 1,260.15 "
